Total orders received: 181
        OrderID           pcID            qty     profitRate      unitProfit
            135              0              4             26%            533
--------------------------------------------------------------------------------------
4 CPUs demand: 296 443 539 503 
--------------------------------------------------------------------------------------
The orders to be produced: 130
        OrderID           pcID            qty     profitRate      unitProfit    totalProfit       discount
            105             15             10             74%           2257          22570           2700
            128              7             19             73%           2226          42294              0
            206              7             24             72%           2196          52704              0
            278             15              6             71%           2165          12990           1620
            186             14             26             74%           2109          54834           7020
            259             14             21             71%           2023          42483           5670
            153             13             23             71%           2023          46529           6210
            280              5              6             70%           1995          11970              0
            233             15              3             65%           1982           5946            810
            140              7             22             65%           1982          43604              0
            125             14             12             69%           1966          23592           3240
            169              6              5             68%           1938           9690              0
            209             14              8             68%           1938          15504           2160
            210              6              1             67%           1909           1909              0
            216             14             25             67%           1909          47725           6750
            127              4             30             72%           1908          57240              0
            192             12              3             72%           1908           5724            810
            161             15              8             62%           1891          15128           2160
            156              7             18             62%           1891          34038              0
            131              5             26             66%           1881          48906              0
            273              4             17             70%           1855          31535              0
            164              5              9             65%           1852          16668              0
            172             15              8             60%           1830          14640           2160
            118             12             14             68%           1802          25228           3780
            226             13             12             63%           1795          21540           3240
            168              7             14             58%           1769          24766              0
            229              6             14             62%           1767          24738              0
            250             14              2             61%           1738           3476            540
            272              4             15             65%           1722          25830              0
            227             11              4             69%           1690           6760            720
            130             13             26             59%           1681          43706           7020
            121              7              4             55%           1677           6708              0
            194             12              3             63%           1669           5007            810
            132             11             21             68%           1666          34986           3780
            240             11             12             68%           1666          19992           2160
            171              2              7             74%           1665          11655              0
            152              9             26             74%           1665          43290           4680
            247              6              7             58%           1653          11571              0
            148             10             21             73%           1642          34482           3780
            126              2             10             73%           1642          16420              0
            170              9             12             73%           1642          19704           2160
            184             14             16             57%           1624          25984           4320
            246             13             27             57%           1624          43848           7290
            123              6             30             57%           1624          48720              0
            107             11             27             66%           1617          43659           4860
            215              3              1             66%           1617           1617              0
            199              3              3             65%           1592           4776              0
            133             12             11             60%           1590          17490           2970
            204             10             19             70%           1575          29925           3420
            212             14             23             55%           1567          36041           6210
            197             13             13             55%           1567          20371           3510
            111              2             21             69%           1552          32592              0
            188             11             28             63%           1543          43204           5040
            177              6              6             54%           1539           9234              0
            221             10             14             68%           1530          21420           2520
            129              7             18             50%           1525          27450              0
            185             13              4             53%           1510           6040           1080
            160             14             29             53%           1510          43790           7830
            180             10              7             67%           1507          10549           1260
            158              2              4             67%           1507           6028              0
            190             11             15             61%           1494          22410           2700
            220              1             28             66%           1485          41580              0
            222              8             23             72%           1476          33948           4140
            145              2             15             65%           1462          21930              0
            252              6             21             51%           1453          30513              0
            159              5             11             51%           1453          15983              0
            112             13             16             51%           1453          23248           4320
            262             10             23             64%           1440          33120           4140
            115             15             24             47%           1433          34392           6480
            119              5             11             50%           1425          15675              0
            231             11             28             58%           1421          39788           5040
            249              9             13             63%           1417          18421           2340
            256              2              8             63%           1417          11336              0
            182              4             19             53%           1404          26676              0
            265              2              8             62%           1395          11160              0
            149              0              5             68%           1394           6970              0
            253              0             27             67%           1373          37071              0
            269             14             29             48%           1368          39672           7830
            179              8             16             66%           1353          21648           2880
            162             10              2             60%           1350           2700            360
            208             11             13             54%           1323          17199           2340
            263              3             21             54%           1323          27783              0
            205             10             15             58%           1305          19575           2700
            189              3             28             53%           1298          36344              0
            181              3             28             53%           1298          36344              0
            196             10              5             57%           1282           6410            900
            254              6              5             45%           1282           6410              0
            264              0             27             62%           1271          34317              0
            110              0              4             61%           1250           5000              0
            138              8             16             61%           1250          20000           2880
            155             12              2             47%           1245           2490            540
            173              5              5             43%           1225           6125              0
            255             11             26             49%           1200          31200           4680
            261              6             12             42%           1197          14364              0
            232             10             12             53%           1192          14304           2160
            244             11             22             48%           1176          25872           3960
            207              5              1             41%           1168           1168              0
            165             13              1             41%           1168           1168            270
            154             15             19             38%           1159          22021           5130
            101              3              5             47%           1151           5755              0
            217              8              4             56%           1148           4592            720
            268             10              4             51%           1147           4588            720
            223              9             14             51%           1147          16058           2520
            211              1              5             51%           1147           5735              0
            202              6              7             39%           1111           7777              0
            275              9              3             49%           1102           3306            540
            104              8             24             53%           1086          26064           4320
            106             12             20             41%           1086          21720           5400
            147              9             23             48%           1080          24840           4140
            143             11              2             44%           1078           2156            360
            193              4             18             40%           1060          19080              0
            195              4              1             40%           1060           1060              0
            174              5              6             37%           1054           6324              0
            120             13             17             37%           1054          17918           4590
            235             14             22             37%           1054          23188           5940
            109              3              3             43%           1053           3159              0
            276              8             22             51%           1045          22990           3960
            260              1              5             46%           1035           5175              0
            142             14              7             36%           1026           7182           1890
            237             13              3             36%           1026           3078            810
            245              6             12             36%           1026          12312              0
            117              0             12             50%           1025          12300              0
            270              0             12             50%           1025          12300              0
            108              9             17             45%           1012          17204           3060
            239              4             11             38%           1007          11077              0
            200              7             18             33%           1006          18108              0
            116             13             10             35%            997           9970           2700
            225             10              4             44%            990           3960            720
            103              2              9             44%            990           8910              0
            271             11              2             40%            980           1960            360
--------------------------------------------------------------------------------------
The orders to be canceled: 51
        OrderID           pcID            qty     profitRate         penalty
            178              3             29             41%           3004
            151              9             17             44%           1652
            134             13              3             34%            343
            218              4             13             36%           1405
            234             15             21             31%           2516
            198              0              9             46%            808
            102              5             27             33%           3069
            258              8             11             45%            980
            137              7             22             30%           2616
            243              6             11             32%           1241
            267             11              7             37%            704
            201              8             14             44%           1239
            136              0             20             44%           1771
            203             14             27             31%           3023
            139             11              5             36%            499
            124             11              5             36%            499
            277              2              5             39%            469
            228             11             23             35%           2281
            144              2              2             38%            186
            266              6              1             30%            111
            242              8             25             41%           2167
            175              0             12             41%           1040
            224             15              4             27%            464
            166             12             17             31%           1770
            157             12             20             31%           2082
            236             10             13             36%           1193
            122              2             22             36%           2019
            187              2             30             35%           2733
            219              6             28             27%           3039
            113              2             10             34%            904
            141              2              1             34%             90
            183             15             22             25%           2515
            248              8             24             36%           2007
            191              9              7             32%            623
            251              4             20             27%           2019
            241              6              3             25%            320
            230             13             30             25%           3205
            274              6             12             25%           1282
            213              5             13             25%           1389
            279              2             27             31%           2387
            100              9              8             30%            702
            257             10             14             28%           1209
            114              1             29             28%           2505
            167              2             20             28%           1728
            214              0             12             30%            959
            163              8              7             30%            559
            150              0             27             30%           2158
            146              0              2             28%            157
            238              9             21             25%           1771
            176              0             26             27%           2030
            135              0              4             26%            309
--------------------------------------------------------------------------------------
Total profit: 2667001 (total penalty = 75751, total discount: 232830)
Total cycles required: 9999
